"screen_name","text","created_at"
"dmilet","Looking into my crystal ball I see Cuomo  since he is a Democrat  will not be held to account for any of this   

Investigations into Cuomo s conduct will continue ",2021-08-11 14:10:58
"TiknisArts","Gov  Andrew M  Cuomo was wearing everyone down   WednesdayWisdom  ",2021-08-11 14:10:35
"rdeane13","Andrew Cuomo s long record of failing New York
  via ",2021-08-11 14:02:14
"rdeane13","What s next for Gov  Andrew Cuomo after his resignation over sex harass claims 
  via ",2021-08-11 14:10:26
"rdeane13","Andrew Cuomo is a heel that could never fill his dad s shoes  Goodwin
  via ",2021-08-11 14:02:27
"SusanWoodhull1","Disgraced former Fox News host Bill O Reilly had a hot take on the resignation announcement of New York Gov  Andrew Cuomo    and got a blunt reminder in response   via ",2021-08-11 14:10:23
"PoliticalClownP","Cuomo has more to account for than sexual harassment      ",2021-08-11 14:10:09
"midwestguru","New video by Tim Pool  Democrat Governor Andrew Cuomo RESIGNS  Sheriff Warns Criminal Investigation May Lead To His ARREST ",2021-08-11 14:10:01
"hardestofrock"," Every single thing about this guy was in broad freaking daylight and they just ignored it because they re soulless awful  trolls  

",2021-08-11 14:09:50
"hardestofrock","Cuomo s resignation is humiliating for the dozens of left wing activists across legacy media that hailed him a hero for his botched handling of the pandemic 

",2021-08-11 14:08:35
"soulgirl65","My thought is Biden and democrats told  Andrew Cuomo to resign as Governor and get him out the way so when things ramp up with Trump and Matt Gaetz the republicans can t scream witch hunt cause democrats just ate one of their own  Lol 🤷🏽‍♀️",2021-08-11 14:09:41
"thominyourside","no one is talking about how Andrew cuomo whipped his cape around turned into bats as he left the governor s manor",2021-08-11 14:09:36
"visualwon_robin","Allow Us To Re Present  Andrew Cuomo s Resignation Speech  via ",2021-08-11 14:09:29
"BreitbartNews","Rich Elites LOVED disgraced Democrat Andrew Cuomo  ",2021-08-11 13:20:32
"BreitbartNews","Odd how all the Hollywood  Cuomosexuals  are all suddenly silent about their self professed love for Andrew Cuomo  ",2021-08-11 14:09:23
"Cmarti1215","America Unites Over Andrew Cuomo s Resignation   He Is a Ghoul   Meghan McCain Says  SmartNews Republicans need to look at their rapist President white attacked them Capital with his QAnon idiots clean your dirty house first  ",2021-08-11 14:09:17
"jaspinmo","Andrew Cuomo is resigning  but the investigations into his conduct will continue ",2021-08-11 14:09:14
"WBUR","OPINION  Bottom line  The perpetrator doesn t get to define the quality of the touch  writes   

",2021-08-11 14:09:12
"CCGevirtz","Hochul prepares for spotlight as Cuomo steps aside
",2021-08-11 14:09:07
"NPR","The scandal surrounding New York Gov  Andrew Cuomo has entangled the leader of the LGBTQ group the Human Rights Campaign  Now  the group has hired an outside law firm to examine their own president for his alleged role in the scandal  ",2021-08-11 14:09:06
"AIIAmericanGirI","Who did it better  NY Daily News vs  NY Post covers on the resignation of Andrew Cuomo  ",2021-08-11 14:09:06
"AIIAmericanGirI","Did Joe Biden Really Just Say That About Andrew Cuomo   ",2021-08-11 13:19:43
"Donald_Lindeman","    Brian Lehrer  Andrew Cuomo s claim of generational naivete reg respect for women in the workplace does not hold up  Cuomo is young enough to have understood the changing standards and norms",2021-08-11 14:09:01
"TrinityforHire","  ok  hun 
",2021-08-11 14:08:40
"HowieCarrShow","Round up the usual suspects 

 Idiotic Media Figures Who Called Andrew Cuomo A Hero ",2021-08-11 14:08:37
"HowieCarrShow","Howie s latest UNCUT column is up  ",2021-08-11 13:33:09
"twobugsGaming","Andrew Cuomo is a failed Donald Trump clone",2021-08-11 14:08:37
"SwayzeeSoul","Andrew Cuomo RESIGNS After Multiple Harassment Claims Culminating In Pos     via   👏👏👏👏👏  HeNeedsToGoTOPrison",2021-08-11 14:08:35
"NewsWhip","Yesterday was a landmark moment in New York politics as governor Andrew Cuomo resigned after a months long scandal over sexual harassment allegations 

In the past  hours  there have been k articles written  with  M+ engagements to those articles 

 NewsWhipDailyData ",2021-08-11 14:08:34
"dwbnseaside","What a rocket scientist   He would not hit water if he fell off a boat in middle of Gulf  

Alec Baldwin s Reaction To Andrew Cuomo s Resignation Has Jaws Dropping   SmartNews",2021-08-11 14:08:34
"dwbnseaside","Chris Cuomo strolls off lavish Hamptons dock  ignores questions about brother Andrew Cuomo s resignation

",2021-08-11 13:21:28
"ricardo52479689","  Meanwhile Matt gaetz accused of sex of young minor not yet  for consent and about Trump accused of penetrating raped on Jean Carroll so I guess is okay with Republicans meanwhile soon to be former governors resigned Andrew Cuomo  on much less than of these two sex maniac ",2021-08-11 14:08:33
"BruceChambers","Watching Andrew Cuomo s resignation speech Tuesday  it was impossible not to wonder what his father  Gov  Mario Cuomo  would have thought  

",2021-08-11 14:08:13
"BruceChambers","These male punks have no respect for women  You little male chauvinists  you would not be here if it was not for a woman  Keep your hands off them  

Watch   Times Comedy Central Host and  Cuomosexual  Trevor Noah Praised Disgraced Andrew Cuomo ",2021-08-11 14:02:45
"BruceChambers","Biden is a male chauvinist too if he thinks Cuomo did a good job  A good job doing what  Killing Nursing Home patients by sending Covid patients to Nursing homes  

Joe Biden  Andrew Cuomo Did a  Hell of a Job  as Governor Aside from  Personal Behavior  ",2021-08-11 14:00:57
"CapitolBeatOK","Marina Villeneuve  The Associated Press  The City Sentinel 
New York Governor Andrew Cuomo resigning over sexual harassment
 ",2021-08-11 14:08:06
"jrhubbardwriter","Opinion | Andrew Cuomo is the latest leader to go from lionization to downfall ",2021-08-11 14:07:43
"MarquisDeLeDain"," FreeJulianAssangeNow  Why is  Britain bending over backward to provide USA  scapegoats Elites Fiddle While America Burns  The US administration is on the brink of destruction  Cuomo resigns amidst calls for  Biden his very vocal supporter to follow  ",2021-08-11 14:07:41
"JoshNH4H","So long and good riddance   Post from   ",2021-08-11 14:07:14
"DKBhalotia"," How loathsome it was for you and other corporate media to have to defend Andrew Cuomo  but his forced resignation was the result of a political hit job  His worse crime was killing the elderly in nursing homes during COVID ",2021-08-11 14:07:12
"juststuff4all","WOW I WISH I COULD GO TO MY YACHT AND HIDE  BOUGHT BY TAX PAYERS    Chris Cuomo spotted in Hamptons yacht yard amid Andrew s resignation  via ",2021-08-11 14:07:10
"Ashermail"," You praise Andrew Cuomo for an entire year  and now that he resigns you roast him  ",2021-08-11 14:07:06
"mousebert","He he didn t have a double standard  he wouldn t have any standards 

 A tragic day   Alec Baldwin blames  cancel culture  for Andrew Cuomo s resignation  ignoring his  accusers

",2021-08-11 14:06:58
"yportbill"," Remember this   The Daily Show and Trevor Noah can t take back the sloppy kisses they blew to Andrew Cuomo  not even with Twitter s help   video   via ",2021-08-11 13:55:02
"yportbill","Who did it better  NY Daily News vs  NY Post covers on the resignation of Andrew Cuomo  via ",2021-08-11 13:48:52
"yportbill","Andrew Cuomo is a heel that could never fill his dad s shoes  Goodwin  via ",2021-08-11 14:06:42
"Bossip"," ICYMI  Gov  Andrew Cuomo has resigned after report finds he sexually harassed  women  ",2021-08-11 14:06:38
"WashTimes","On Wednesday s  TWTFrontPage  New York Gov  Andrew Cuomo resigns  calls for another round of mask mandates have officials sparring over whether Americans should cover up again  and more 

Stories    Stephen Dinan  amp  Ben Wolfgang
 ",2021-08-11 13:48:36
"WashTimes","Reaction on social media was negative 
",2021-08-11 13:25:03
"WashTimes","Disgraced New York Gov  Andrew Cuomo announced his resignation Tuesday  saying it was the best outcome to avoid a costly and distracting impeachment trial over sexual harassment accusations from  women  allegations that he still denies   TWTFrontPage
",2021-08-11 13:08:33
"WashTimes","CHUMLEY Andrew Cuomo  consummate narcissist  bows out by blaming women       Cuomo  what a guy  He may be a serial sexual harasser   allegedly   but he s got a real  looking out for you  kid  persona ",2021-08-11 14:06:32
"WashTimes"," This is a tragic day   Alec Baldwin mourns Andrew Cuomo  blames  cancel culture  ",2021-08-11 12:55:00
"DocBass4","Why is Donald Trump invincible on sexual assault allegations  but Andrew Cuomo is not 

Aren t Trump s crimes at least as serious at Cuomos 

He is not accused of rape  like Trump is     

But here we are   Democrats face the music

while Republicans call the tunes   seems f d up",2021-08-11 14:06:32
"NYMag","Stephen Colbert s advice for the disgraced governor   Don t let the door hit you on the butt on the way out  But if it does  that door should also resign   ",2021-08-11 12:43:48
"NYMag","Andrew Cuomo isn t the first politician to deliver a resignation message rooted in a non apologetic apology   writes on Cuomo s Nixonian speech ",2021-08-11 14:06:29
"NYMag","Quiz  Is this a quote from Andrew Cuomo s resignation speech or something your terrible ex said when you broke up  ",2021-08-11 13:05:48
"adabagcompany","Why This Legal Expert Thinks Andrew Cuomo s Resignation Should Be Immediate   Exclusive ",2021-08-11 13:34:42
"adabagcompany","Video  Crowds gather for Gov  Andrew Cuomo send off in Union Square ",2021-08-11 13:06:02
"adabagcompany","NYC protesters celebrate Andrew Cuomo s resignation  demand CNN fire Chris ",2021-08-11 14:06:15
"adabagcompany","Legal Expert Explains Why Andrew Cuomo s Resignation Speech Showed A Lack Of Character   Exclusive ",2021-08-11 14:04:04
"tolebelle","Kathy Hochul  who has been Gov  Andrew Cuomo s lieutenant governor since   is set to take over his job and become the first female governor of New York   via ",2021-08-11 14:06:14
"Anthony_Parisii","Andrew Cuomo surrounded himself with mean  terrible people  You re going to see these terrible people use their media connections to try and rehash their images  

Don t believe them ",2021-08-11 14:06:09
"LetsTalkSocal","Gov  Cuomo says his resignation would take effect in  days  Lt  Gov  Kathy Hochul  a Democrat  will be sworn in to replace him  becoming the first woman in history to occupy New York State s top office 
 ",2021-08-11 14:06:06
"KimShoeCrzy","A lot of us asked for due process against Andrew Cuomo before reflectively demanding he resign   Our fantastic Tish James did a thorough investigation and found the allegations credible  His resignation is the correct outcome and he should never hold office again   ",2021-08-11 14:06:04
"zohanbasically","I don t mind Cuomo resigning 
Just means Andrew Giuliani could be governor which gives me hope 
As a fan of his policy
Not the fact he s a man or Rudy s son 
I don t think identifying as a woman gives women hope to be governor 
Who wants to be governor let s be real",2021-08-11 14:06:01
"be_latina"," KathyHochul will become New York s first female governor following Andrew  Cuomo s reluctant resignation over sexual harassment allegations  She will assume the helm of America s most populous state in two weeks 

",2021-08-11 14:05:56
"NahidAlaei","Andrew Cuomo is gone  But his lawless legacy will live on | David Sirota ",2021-08-11 14:05:55
"Pandadollbaby"," DonaldTrump   is worse than  Cuomo ever could be    ",2021-08-11 14:05:27
"RossBarkan","About to go on  to talk Andrew Cuomo ",2021-08-11 12:40:05
"RossBarkan","Found out today Joe Biden praised Andrew Cuomo for accomplishments such as  access to voting   

New York has worse voting laws than most former Confederate states ",2021-08-11 14:05:24
"dhanamurthy_m","Cuomo announces he s resigning as Govenor ",2021-08-11 14:05:14
"kirk_bado","In this AM s    on Andrew Cuomo s far from settled legal problems and me on Ron Kind s retirement  ",2021-08-11 14:05:10
"jeguru1","The Rise And Fall Of Andrew Cuomo ",2021-08-11 13:46:09
"jeguru1","TIMELINE  New York Gov  Andrew Cuomo Resigns After Investigation Into Sexual Harassment Allegations  Nursing Residence Deaths ",2021-08-11 14:05:03
"gdcox1","Nolte  Bombshell Report Says Chris Cuomo Still Advising Brother Andrew  via ",2021-08-11 14:04:58
"MartyGorman13","Former US Attorney Preet Bharara wonders if  mischief  afoot in Andrew Cuomo waiting  days to resign  via ",2021-08-11 14:04:52
"anussbaum1"," Believe me  women know the difference between a friendly hug or kiss and a predatory grope     
 on the Cuomo conflagration   via ",2021-08-11 14:04:49
"BecketAdams"," andrew cuomo may have sexually harassed nearly a dozen women  but let s not forget ron desantis is my political enemy  ",2021-08-11 14:04:34
"BoSnerdley","Chris Cuomo strolls off lavish Hamptons dock  ignores questions about brother Andrew Cuomo s resignation   FoxNews",2021-08-11 13:19:56
"BoSnerdley","Hochul prepares for spotlight as Cuomo steps aside  ",2021-08-11 14:04:19
"PARitzer","Cuomo has more to account for than sexual harassment      ",2021-08-11 14:04:16
"AtticumFloreat","I see that everyone who knew what Andrew Cuomo was actually like are shocked to discover what Andrew Cuomo was actually like  ",2021-08-11 14:04:07
"danhasjokes","not going to comedy open mics has been so good for my mental health  for instance I do not have to subject myself to hearing tons of awful  jokes  about why Andrew Cuomo is the person we should feel bad for",2021-08-11 14:04:00
"eeeer71","NBC NEWS
Why Gov  Andrew Cuomo s dinosaur defense rang hollow",2021-08-11 14:03:58
"TheBuffaloNews","Gov  Andrew Cuomo has resigned and now Lt  Gov  Kathy Hochul will make history  How will the transition work and what will a Gov  Hochul mean for Buffalo  Read our full coverage  ",2021-08-11 14:03:54
"Shamus248","There s people out here who still support Andrew Cuomo",2021-08-11 14:03:52
"GornonTheGreat","andrew cuomo   

there is a cum joke there somewhere",2021-08-11 14:03:48
"Kathryn24498120","Andrew Cuomo s dinosaur excuse for his sexual harassment scandal  ",2021-08-11 14:03:43
"TheClarenceBee","After a nearly five month investigation  independent investigators appointed by New York State Attorney General Letitia James have released a report concluding that Gov  Andrew Cuomo sexually harassed several women  while breaking state and federal laws  ",2021-08-11 14:03:43
"BMDaily1","New York Gov  Andrew Cuomo Resigns Amid Sexual Harassment Scandal ",2021-08-11 14:03:42
"IndLeftNews","New video by  Hard Lens Media  Andrew Cuomo Hero Of Democrats  CNN  NBC Resigns In Disgrace 
❤️ share follow sub on FB Twitter IG YT Odysee Vimeo Email🐦  SupportIndependentMedia  news  analysis  insight  opinion  leftists",2021-08-11 14:03:41
"MotoDadio","This article is idiotic and the premise is just insane  Can we point the finger at misdirected GOP media for the same  Are those the  critics  you speak of   

CNN s Chris Cuomo  Critics call for consequences after Andrew Cuomo resignation  via ",2021-08-11 14:03:28
"hadzis_meletios","New York Governor Andrew Cuomo resigns over sexual harassment    

About time 
Andrew  people of power especially politicians  should
respect  RESPECT the people close to them
 amp 
shouldn t take advantage of them 
Shame  Thanks 



via ",2021-08-11 14:03:19
"spdnyc","  We re going to get that Andrew Cuomo Billy Flynn casting announcement this week  aren t we ",2021-08-11 14:03:09
"NYTMetro","Gov  Andrew Cuomo s decision to leave office touched off a range of reactions on Tuesday   I felt it was a wake up call to men across the country to treat women with respect and to treat them as professionals   said Karen Hinton  one of Cuomo s accusers  ",2021-08-11 14:03:05
"RightnotLeft2","Kathy Hochul should immeadiatly reverse Killer Cuomo s No Bail law for criminals in NY    
 KathyHochul  Cuomo 

",2021-08-11 14:02:53
"RightnotLeft2","Fredo should be fired    He wrote statements for his killer brother while his brother was investigated  FIRE HIM  
 CNN  ChrisCuomo  Fredo 

CNN s Chris Cuomo  Critics call for consequences after Andrew Cuomo resignation  via ",2021-08-11 14:00:37
"Daddywags71","   The office of New York Gov  Andrew Cuomo confirmed Friday the contents of a recording that shows the governor and his team withheld from state legislators the true number of coronavirus deaths at New York nursing homes  out of fear it could be used against them by the Trump admin",2021-08-11 14:02:44
"MichaelAusiello","Colbert Grills Brian Stelter on CNN s Handling of Chris and Andrew Cuomo   It Seems Like an Odd Conflict of Rules     WATCH ",2021-08-11 14:02:33
"UNTVNewsRescue","New York Governor Andrew Cuomo announced his resignation amid multiple allegations of sexual harassment against women 
",2021-08-11 14:02:30
"RyanJGolden"," I m no expert but I completely disagree  Running against Andrew Cuomo from before the nursing home and sexual harassment scandals was going to be incredibly tough  Running against him after was going to be the best shot any Republican has had at winning the Governor s Mansion ",2021-08-11 14:02:28
"jackmirkinson","few people were as up front about who they were as andrew cuomo was  it wasn t possible to be  duped  by him he was never hiding  people like christine quinn just didn t care",2021-08-11 14:02:15
"doctorjonp"," And if anything  Andrew Cuomo did not have to be a member of the NY machines  As a son of Mario Cuomo  he had family name recognition that would have allowed him to forge his own path ",2021-08-11 14:02:13
"thelaughbutton","In lieu of a standard monologue  Amy Poehler sat in with  to discuss Andrew Cuomo resigning  celebrities talking about their shower habits  watching people watch the Olympics  and more  

",2021-08-11 14:02:06
"BanglaViral","New York Gov  Andrew Cuomo resigning over sexual harassment ",2021-08-11 13:46:31
"BanglaViral","Janice Dean reacts to Andrew Cuomo s shocking resignation   It s over  ",2021-08-11 14:02:01
"albertmohler","The High Velocity Fall of Andrew Cuomo Brings His Political Career to an End As He Resigns in Disgrace as Governor of New York  Not Even His Own Party Can  Or Wants To  Save Him Now  TheBriefing ",2021-08-11 14:02:01
"TVLine","Colbert Grills Brian Stelter on CNN s Handling of Chris and Andrew Cuomo   It Seems Like an Odd Conflict of Rules     WATCH ",2021-08-11 14:02:00
"newsbusters","On the day Andrew Cuomo resigned over multiple sexual harassment allegations  some reporters were still more focused on attacking Ron DeSantis  ",2021-08-11 14:02:00
"JnoBS86","Andrew Cuomo as a visiting angel ",2021-08-11 14:01:55
"petersonpixs","Once upon a time  Governor Andrew Cuomo    AndrewCuomo  politicaltheatre ",2021-08-11 14:01:47
"JBeans_15","Satan when he sees Andrew Cuomo at the gate  ",2021-08-11 14:01:30
"LibrulAzzole","    Much like Joe Biden  amp  Andrew Cuomo I just can t help myself   
I somehow doubt Epstein s buddy Alec Baldwin will jump to my defense though   
Isn t that where this all started  ",2021-08-11 14:01:12
"LibrulAzzole"," In the  days before he leaves office  Andrew Cuomo will once again be at the NY State Fair serving up Gianelli sausage sandwiches to women   
 Eat The Whole Sausage  
",2021-08-11 12:51:10
"TonedDownMo","My last poor choice in crushes   Andrew Cuomo   Gosh I always pick them so bad   And oh my goodness was I wrong   I am going to hell    I still find him sexy    shrugs ",2021-08-11 14:01:09
"deplorable_s","Janice Dean Responds After Andrew Cuomo Resigns    I Want Justice  ",2021-08-11 14:01:04
"jampolenta73","The fall of Andrew Cuomo  postReports 
 via ",2021-08-11 14:00:58
"WhatsLeftofDems"," A report released by the New York State attorney general   is replete with accounts from state employees who say that they feared they would lose their jobs if they attempted to report misconduct by  now resigned  Governor Andrew Cuomo or his allies   ",2021-08-11 13:56:03
"WhatsLeftofDems"," Long before  Cuomo s efforts to discredit reports he had sexually harassed women  he repeatedly interfered in another state probe that threatened him    using increasingly heavy handed tactics to limit inquiries that might implicate him or his allies   ",2021-08-11 14:00:57
"JamaicaObserver","Caribbean American legislators in New York have welcomed the resignation of Governor Andrew Cuomo  saying it was the right thing to do 
",2021-08-11 14:00:52
"thedeadpelican","Conservatives who demanded this are going to end up regretting it   A precedent is now established  All it takes to ruin a candidate is a handful of women making allegations   I can see it happening to GOP candidate in   ",2021-08-11 14:00:27
"WNYNewsNow","New York Governor Andrew Cuomo resigning Tuesday  a move that comes after calls for him to step down  including from President Biden and several legislators after a New York Attorney General investigation found Cuomo had sexually harassed at least   ",2021-08-11 14:00:20
"WNYNewsNow","Kathy Hochul  a western New York Democrat unfamiliar to many people in the state even after six years as its lieutenant governor  was set to begin reintroducing herself to the public Wednesday as she prepared to take the reins of power after Gov  Andrew  ",2021-08-11 13:00:59
"beavisthegreek"," And I m rolling my eyes more at actual rank  amp  file Democrats than talk show hosts  I mean andrew cuomo is not Jack Kennedy nor Barack Obama  His baseball W A R would be    ",2021-08-11 14:00:19
"beavisthegreek"," And before you retort I was just reminded that this actually happened when he apparently was  a calming influence during the beginning of COVID   And to those people I say hahahaha  Andrew cuomo even before the sexual harassment revelations was just a run of the mill politician ",2021-08-11 12:45:10
"flybry55"," I definitely believe Andrew Cuomo assaulted women  amp  knew damn well he did  I doubt he grabbed a guy s butt or crotch in friendly way to say  hi  

Chris is not responsible for his brothers actions  If he supports or gives him advice as brothers  that s between them ",2021-08-11 14:00:09
"DrHorsford","Andrew Cuomo is resigning   but criminal probes could still move forward
 law
",2021-08-11 14:00:03
"Reuters","Kathy Hochul is about to become New York s first female governor after Andrew Cuomo resigns  Here are some key facts about her  ",2021-08-11 14:00:02
"DianeSori","RIGHT SIDE PATRIOTS on  Manipulating Normalcy    Crazy Train to Covidville   and Andrew Cuomo resigns   listen to it   amp  previous shows  at   go to our podcasts  amp  become  followers  of RIGHT SIDE PATRIOTS
 Factor  PJNET  tcot talknlisten ",2021-08-11 13:59:26
"DianeSori","RIGHT SIDE PATRIOTS on  Manipulating Normalcy    Crazy Train to Covidville   and Andrew Cuomo resigns   listen to it   amp  previous shows  at   go to our podcasts  amp  become  followers  of RIGHT SIDE PATRIOTS
 Factor  PJNET  tcot talknlisten ",2021-08-11 14:00:02
"KCOY","New York Lt  Gov  Kathy Hochul will become governor of New York after Andrew Cuomo announced on Tuesday that he will resign in two weeks following the state attorney general s investigation that found he sexually harassed multiple women 
 ",2021-08-11 14:00:01
"NewsChannel312","New York Lt  Gov  Kathy Hochul will become governor of New York after Andrew Cuomo announced on Tuesday that he will resign in two weeks following the state attorney general s investigation that found he sexually harassed multiple women 
 ",2021-08-11 14:00:00
"KKFXFox11","New York Lt  Gov  Kathy Hochul will become governor of New York after Andrew Cuomo announced on Tuesday that he will resign in two weeks following the state attorney general s investigation that found he sexually harassed multiple women 
 ",2021-08-11 14:00:00
"PixstoryApp","Is  Cuomo s political career over  Can he run again   FoundOnPixstory

 New York Governor Andrew Cuomo has resigned  He claimed innocence  spoke of his instinct to fight  but caved in suddenly  But his political career may not be over    
",2021-08-11 14:00:00
"NYCsporty","Mother Nature reacted HUGELY last night to Andrew Cuomo stepping down as NY Governor     ",2021-08-11 13:59:47
